,Id,Period,Time,Type,Goal,Assist,Season
0,294736,1. část,05:51,-,7 Martin Bukovič,31 Jakub Rada,2021/2022
0,294733,1. část,02:41,-,73 Kryštof Hoch,,2021/2022
1,294733,2. část,01:59,-,12 Václav Boček,72 Jaroslav Soldán,2021/2022
2,294733,3. část,07:32,-,31 Jakub Rada,12 Václav Boček,2021/2022
0,296888,2. část,00:41,-,73 Kryštof Hoch,17 Jakub Hruška,2021/2022
1,296888,3. část,09:19,-,17 Jakub Hruška,,2021/2022
2,296888,3. část,09:43,-,18 Michal Šíma,7 Martin Bukovič,2021/2022
0,298364,1. část,00:05,-,97 Ondřej Zeman,17 Jakub Hruška,2021/2022
1,298364,1. část,08:18,-,7 Martin Bukovič,,2021/2022
2,298364,1. část,11:38,-,12 Václav Boček,17 Jakub Hruška,2021/2022
3,298364,2. část,04:52,-,97 Ondřej Zeman,17 Jakub Hruška,2021/2022
4,298364,2. část,05:00,-,17 Jakub Hruška,97 Ondřej Zeman,2021/2022
5,298364,3. část,04:33,-,17 Jakub Hruška,72 Jaroslav Soldán,2021/2022
6,298364,3. část,10:36,OG,88 Martin Pokorný,,2021/2022
7,298364,-,-,PS,17 Jakub Hruška,,2021/2022
0,300089,2. část,00:50,-,9 Jakub Klement,72 Jaroslav Soldán,2021/2022
1,300089,2. část,05:12,-,97 Ondřej Zeman,17 Jakub Hruška,2021/2022
2,300089,2. část,06:06,-,97 Ondřej Zeman,73 Kryštof Hoch,2021/2022
3,300089,2. část,11:58,-,17 Jakub Hruška,9 Jakub Klement,2021/2022
4,300089,3. část,05:31,-,72 Jaroslav Soldán,17 Jakub Hruška,2021/2022
5,300089,3. část,06:35,-,17 Jakub Hruška,97 Ondřej Zeman,2021/2022
0,302009,1. část,02:37,-,97 Ondřej Zeman,17 Jakub Hruška,2021/2022
1,302009,3. část,03:22,-,73 Kryštof Hoch,18 Michal Šíma,2021/2022
2,302009,3. část,03:38,-,31 Jakub Rada,73 Kryštof Hoch,2021/2022
