,Id,Player,G,A,PTS,Season,Team_against,Team_for
0,294736,12 Tomáš Husarik (O),0,0,0,2021/2022,FBC Penguins Praha,Blue Horses Stochov
1,294736,13 Filip Švojgr (U),1,0,1,2021/2022,FBC Penguins Praha,Blue Horses Stochov
2,294736,14 Tomáš Leipner (U),1,4,5,2021/2022,FBC Penguins Praha,Blue Horses Stochov
3,294736,18 Jan Mikolášek (U),0,0,0,2021/2022,FBC Penguins Praha,Blue Horses Stochov
4,294736,20 Stanislav Prokop (U),1,2,3,2021/2022,FBC Penguins Praha,Blue Horses Stochov
5,294736,21 Jiří Polívka (U),3,1,4,2021/2022,FBC Penguins Praha,Blue Horses Stochov
6,294736,22 Jaroslav Macík (U),1,1,2,2021/2022,FBC Penguins Praha,Blue Horses Stochov
7,294736,26 Jakub Drexler (U),1,1,2,2021/2022,FBC Penguins Praha,Blue Horses Stochov
8,294736,48 František Štiller (O),2,0,2,2021/2022,FBC Penguins Praha,Blue Horses Stochov
9,294736,67 Pavel Pulec (O),0,0,0,2021/2022,FBC Penguins Praha,Blue Horses Stochov
10,294736,69 Tomáš Pichner (U),1,2,3,2021/2022,FBC Penguins Praha,Blue Horses Stochov
0,294733,8 Jan Helešic (U),1,0,1,2021/2022,FBC Penguins Praha,IBK Svatý hole Kladno
1,294733,9 Pavel Hušák (O),0,3,3,2021/2022,FBC Penguins Praha,IBK Svatý hole Kladno
2,294733,15 Jan Marek (U),1,0,1,2021/2022,FBC Penguins Praha,IBK Svatý hole Kladno
3,294733,21 Jindřich Buša (U),0,0,0,2021/2022,FBC Penguins Praha,IBK Svatý hole Kladno
4,294733,23 Matouš Vlasák (U),0,0,0,2021/2022,FBC Penguins Praha,IBK Svatý hole Kladno
5,294733,24 Václav Juklíček (U),0,0,0,2021/2022,FBC Penguins Praha,IBK Svatý hole Kladno
6,294733,29 Jiří Bareš (U),1,0,1,2021/2022,FBC Penguins Praha,IBK Svatý hole Kladno
7,294733,40 Jan Juklíček (U),0,0,0,2021/2022,FBC Penguins Praha,IBK Svatý hole Kladno
8,294733,51 Michal Šmíd (U),0,1,1,2021/2022,FBC Penguins Praha,IBK Svatý hole Kladno
9,294733,88 Tomáš Hušák (U),0,0,0,2021/2022,FBC Penguins Praha,IBK Svatý hole Kladno
10,294733,89 Tomáš Prchal (U),3,1,4,2021/2022,FBC Penguins Praha,IBK Svatý hole Kladno
