,Id,Player,G,A,PTS,Season,Team_against,Team_for
0,290622,3 Jakub Kubašovský (U),0,0,0,2021/2022,FBC Mobydick Praha,FBC Draci Říčany TT B
1,290622,12 Tomáš Paskal (U),0,1,1,2021/2022,FBC Mobydick Praha,FBC Draci Říčany TT B
2,290622,15 Tomáš Bečán (U),0,0,0,2021/2022,FBC Mobydick Praha,FBC Draci Říčany TT B
3,290622,17 Ladislav Zvolský (U),0,0,0,2021/2022,FBC Mobydick Praha,FBC Draci Říčany TT B
4,290622,29 Ondřej Mikulíček (O),0,0,0,2021/2022,FBC Mobydick Praha,FBC Draci Říčany TT B
5,290622,37 Tomáš Tichý (U),0,0,0,2021/2022,FBC Mobydick Praha,FBC Draci Říčany TT B
6,290622,48 Ondřej Stach (U),0,0,0,2021/2022,FBC Mobydick Praha,FBC Draci Říčany TT B
7,290622,54 Ivo Roušar (U),0,0,0,2021/2022,FBC Mobydick Praha,FBC Draci Říčany TT B
8,290622,93 Martin Kaprálek (U),1,0,1,2021/2022,FBC Mobydick Praha,FBC Draci Říčany TT B
9,290622,95 Jakub Jurišta (U),0,0,0,2021/2022,FBC Mobydick Praha,FBC Draci Říčany TT B
0,291306,9 Petr Brychta (U),1,1,2,2021/2022,FBC Mobydick Praha,FBC Vokovický Šavle
1,291306,11 Josef Kurka (O),1,0,1,2021/2022,FBC Mobydick Praha,FBC Vokovický Šavle
2,291306,12 Martin Šustr (U),0,0,0,2021/2022,FBC Mobydick Praha,FBC Vokovický Šavle
3,291306,13 Aleš Zahálka (O),0,0,0,2021/2022,FBC Mobydick Praha,FBC Vokovický Šavle
4,291306,14 Petr Šavrda (U),0,1,1,2021/2022,FBC Mobydick Praha,FBC Vokovický Šavle
5,291306,17 Vladimír Oliva (O),0,0,0,2021/2022,FBC Mobydick Praha,FBC Vokovický Šavle
6,291306,19 Martin Fafl (U),0,0,0,2021/2022,FBC Mobydick Praha,FBC Vokovický Šavle
