,Id,Period,Time,Player,TM,Foul,Season
0,290622,2. část,00:00,54 Ivo Roušar,2,922 špatné střídání,2021/2022
0,291306,1. část,05:37,11 Josef Kurka,2,901 sekání,2021/2022
1,291306,3. část,07:09,13 Aleš Zahálka,2,909 hrubost,2021/2022
0,294684,1. část,03:00,5 Petr Šimek,2,922 špatné střídání,2021/2022
1,294684,1. část,03:48,90 Ondřej Málek,2,901 sekání,2021/2022
2,294684,1. část,04:20,67 Ondřej Křivánek,2,907 nedovolené vrážení,2021/2022
3,294684,3. část,10:40,83 Pavel Kuchynka,2,909 hrubost,2021/2022
0,294688,1. část,08:03,27 Jiří Kotáb,2,911 bránění ve hře,2021/2022
0,295536,1. část,08:08,78 Petr Becík,2,901 sekání,2021/2022
1,295536,2. část,02:59,78 Petr Becík,,610 osobní trest,2021/2022
2,295536,2. část,02:59,78 Petr Becík,2,925 nesportovní chování,2021/2022
3,295536,3. část,08:05,16 Ondřej Turek,2,901 sekání,2021/2022
0,293079,2. část,11:40,17 Luboš Vodrážka,2,919 hra na zemi,2021/2022
1,293079,3. část,08:49,26 František Jantač,2,901 sekání,2021/2022
0,301969,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2021/2022
0,301973,1. část,05:45,7 David Václavík,2,901 sekání,2021/2022
1,301973,2. část,03:29,24 Jiří Hora,2,909 hrubost,2021/2022
